no,tag,title,original price,discount,available month,available date,available day,summary," seller"," date"," condition"," note",,,,,
0,house,1B1B Apartment,$,$2150,11,19,,"Charming 1 Bedroom, 1 Bath Apartment in Prime Location","K&S","April 2022","Execellent","Great view",Perfect location,"1 min from the CSV, Safeway, park, UPS, USPS",within 15 mins from the campus and BART station,Gated parking space ($75/month),Water & garbage fee included
1,mattress,Bed mattress,$300,$99,11,15,Monday,Queen-size medium-firmness mattress," Mattress Firm","April 2022","Normal","Queen size",Medium-firmness,$10 off when purchasing the bed frame,,,
2,frame,Bed frame,$100,$19,11,15,Friday,Queen-size simple bed frame," Mattress Firm","April 2022","Normal","Queen size",,,,,
3,tv,TV+stand+Mi,$150,$119.9,11,8,,Samsung 32 inch TV,"Secondhand","July 2023","Good","Comes with TV stand and Xiaomi Mi TV stick","Mi TV (Netflix, Youtube, Disney+, tving, ...)",,,,
4,bike,Bike for women,$150,$99.9,9,1,,21 speed mountain bike for women,"Secondhand","April 2022","Good","suitable for 155cm to 165cm",,,,,
5,scooter,Electric bike,$1390,$699.9,11,15,,Quite and colorful electric bike,"HMP","September 2023","Normal","Battery is inseparable",5 hours for a full charge,30 miles with the full charge,Maximum speed is 19 mph on flat,Warning system for security,Detectable by Airtag
6,sofa,Beige sofa,$249.0,$49.9,9,1,,Vissle fabrid in polyester sofa,"Ikea","April 2022","Normal","Durable material with a smooth weave",,,,,
7,table,Dining table,$264.6,$109.9,11,15,,Kitchen table with 2 chars and a bench,"Amazon","April 2022","Normal","Comes with chairs and a bench",,,,,
8,drawer,3-drawer chest,$99.9,$39.9,11,8,Friday,3-layer wide white drawer,"Ikea","December 2022","Good",,,,,,
9,closet,Shelf unit,$129.2,$89.9,9,1,,KALLAX shelf unit black brown,"Ikea","November 2023","Execellent","Heavy",,,,,
10,lamp1,Floor lamp I,$33.1,$9.9,9,1,,LED floor lamp with touch and remote control,"Amazon","April 2022","Good","4 color",,,,,
11,lamp2,Floor lamp II,$59.9,$14.9,11,15,,High lumen light for living rooms and offices,"Amazon","April 2022","Good","Dimmable indoor pole uplight",,,,,
12,light,White floor lamp,$54.4,$18.9,11,15,,Multi-white shade floor lamp,"Amazon","April 2022","Normal","Adjustable gooseneck arms",Comes with LED light bulbs,,,,
13,fan,Fan,$52.9,$14.9,9,1,,Oscillating dual blade standing fan,"Amazon","June 2022","Execellent",,,,,,
14,mirror,Full length mirror,$15,$7.9,11,8,Saturday,Full-size mirror for dress-up,"Amazon","July 2022","Good",,,,,,
15,oven,Microwave oven,$66.1,$19.9,11,15,Friday,Cute small microwave oven,"Amazon","April 2022"," Good",,,,,,
16,waffle,Waffle maker,$23.0,$4.9,9,1,,Belgian waffle maker iron for breakfast and snacks,"Amazon","July 2022","Execellent",,,,,,
17,shoes,Shoe rack,$30.8,Free,11,8,Friday,Shoe shelf for 15 paris,"Amazon","November 2023","Normal",,,,,,
18,dryer1,Hair dryer I,$11,$4.9,11,15,Friday,1875W mid-size hair dryer,"Amazon","July 2023","Normal",,,,,,
19,dryer2,Hair dryer II,$24.9,$9.9,9,1,,Light and fast hair dryer,"Amazon","April 2022","Normal","1875W stunning blowouts",,,,,
,dish,Dish drying rack,$21.9,$7.9,11,15,,Multipurpose drying rack for kitchen,"Amazon","May 2023","Normal","2 tier large capacity",,,,,
20,clock,Wall clock,$11.5,$3.9,9,1,,Modern wall clocks battery operated,"Amazon","May 2023","Execellent",,,,,,
21,curtain,Blackout curtain,$49.9,$14.9,9,1,,Blackout linen curtains,"Amazon","May 2023","Good","2 panels set",W50 X L84,Curtain rods are adjustable,,,
22,router,Wi-Fi router,$99.2,$24.9,11,15,Friday,NETGEAR cable modem Wi-Fi router combo C6250,"Amazon","Apirl 2023","Good","Cable plans up to 300Mbps",AC1600 Wi-Fi speed,,,,
23,bowl,Mixing bowl,$28.7,Free,9,1,,Large stainless steel mixing bowl,"Amazon","January 2023","Good","40 QT",Diameter 55 cm,,,,
24,hamper,Laundry hamper,$33.1,$9.9,11,15,,Rolling laundry hamper with built-in handle,"Amazon","January 2023","Good","Smooth gliding wheels",Ventilated design,,,,
25,brita,Brita dispenser,$41.9,$14.9,11,1,,Water filter dispenser for tap and drinking water,"Amazon","January 2023","Good","Comes with filters!",,,,,
26,sidetable,Round side table,$39.9,$9.9,9,1,,Round end/side tables for living room,"Amazon","January 2024","Good","Gold color",,,,,
27,warmer,Candle lamp,$26.9,$12.9,9,1,,Candle warmer lamp with timer,"Amazon","January 2024","Execellent","Height adjustable",Timer,,,,
28,coffee,Coffee maker,$20.9,$4.9,9,1,,5-cup mini brew switch coffee maker,"Amazon","April 2022","Normal","Comes with blend coffee and filter",,,,,
29,outlet,Charging station,$16.9,$9.9,11,15,,"Power strip with USB C, USB, outlets","Amazon","April 2022","Good","5ft long extension cord",,,,,
30,stool,Stool,$38.56,$9.9,11,1,,Velvet round modern dressing stool,"Amazon","April 2022","Good",,,,,,
31,cooker,Rice cooker,$92.4,$19.9,11,15,,6-cup rice cooker with nonstick inner pot,"Amazon","April 2022","Normal","Korean product",,,,,
32,speaker,Bluetooth speaker,$10,Free,9,1,,Small cute bluetooth speaker,"Secondhand","July 2023","Normal",,,,,,
33,pickle,Pickleball set,$20,$9.9,9,1,,Corona edition pickleball paddles set for two,"Secondhand","January 2024","Execellent","Two paddles and two balls",,,,,
34,shelf,Storage shelves,$10,Free,9,1,,4 tier multipurpose storage shelves,"Secondhand","January 2024","Normal",,,,,,
