no,tag,title,original price,discount,available month,available date,available day,summary," seller"," date"," condition"," note",,,,,
0,house,1B1B Apartment,$,$2150,11,11,Tuesday,"Charming 1 Bedroom, 1 Bath Apartment in Prime Location","K&S","April 2022","Execellent","Water & garbage is paid by the owner",Gated parking lot ($75/month),Perfect location,"1 min from the CSV, Safeway, park, UPS, USPS",15 mins from the campus and BART station,Great view
1,bed,Queen-size bed,$350,$99,11,8,Friday,Queen-size medium-firmness mattress," Mattress Firm","April 2022","Normal","Queen size",Medium-firmness,,,,
2,tv,TV+stand+Mi,$150,$104.9,10,18,Friday,Samsung 43 inch full HD TV,"Secondhand","July 2023","Good","Comes with a TV stand and a Xiaomi Mi TV stick","Mi TV (Netflix, Youtube, Disney+, tving, ...)",,,,
3,bike,Bike for women,$150,$89.9,9,1,Sunday,21 speed mountain bike for women,"Secondhand","April 2022","Good","Suitable for between 155cm (5.1') to 165cm(5.5')",Comes with a light and a lock,,,,
4,scooter,Electric bike,$1390,$699.9,11,8,Friday,Quite and colorful electric bike,"HMP","September 2023","Normal","Non-removable battery",5-hour full charge time,30 miles of travel with a full charge,The top speed is 20 mph on the flat,Built-in security warning system,Airtag equipped for tracking
5,sofa,Beige sofa,$249.0,$49.9,9,1,Sunday,Vissle fabrid in polyester sofa,"Ikea","April 2022","Normal","Durable material with a smooth weave",,,,,
6,table,Dining table,$264.6,$89.9,11,8,Friday,Kitchen table with 2 chairs and a bench,"Amazon","April 2022","Good","Includes two Ikea chairs and a bench",,,,,
7,drawer,3-drawer chest,$99.9,$39.9,11,1,Friday,3-layer wide white drawer,"Ikea","December 2022","Good",,,,,,
8,closet,Shelf unit,$129.2,$79.9,9,1,Sunday,KALLAX shelf unit black brown,"Ikea","November 2023","Execellent","Heavy",,,,,
9,lamp1,Floor lamp I,$33.1,$7.9,9,1,Sunday,LED floor lamp with touch and remote control,"Amazon","April 2022","Good","4 color",,,,,
10,lamp2,Floor lamp II,$59.9,$11.9,11,8,Friday,High lumen light for living rooms and offices,"Amazon","April 2022","Good","Dimmable indoor pole uplight",,,,,
11,light,White floor lamp,$54.4,$14.9,11,8,Friday,Multi-white shade floor lamp,"Amazon","April 2022","Normal","Adjustable gooseneck arms",High brightness output,Comes with multiple LED light bulbs,,,
12,fan,Fan,$52.9,$12.9,9,1,Sunday,Oscillating dual blade standing fan,"Amazon","June 2022","Execellent",,,,,,
13,mirror,Full length mirror,$15,$5.9,11,1,Friday,Full-size mirror for dress-up,"Amazon","July 2022","Good",,,,,,
14,oven,Microwave oven,$66.1,$19.9,11,6,Wednesday,Cute small microwave oven,"Amazon","April 2022","Good",,,,,,
15,rack,Laundry dryer,$26.9,$4.9,9,1,Sunday,Laundry drying rack,"Ikea","April 2022","Good",,,,,,
16,kettle,Eletric kettle,$20.94,Free,11,8,Friday,Electric 1.2L BPA-Free 1100W Glass Kettle Cordless,"Amazon","April 2022","Normal",,,,,,
17,mixer,Electric chopper,$36.0,Free,9,1,Sunday,Electric vegetable and meat chopper,"Amazon","April 2022","Normal",,,,,,
18,blender,Blender,$34.99,$8.9,9,1,Sunday,Electric blender for shakes and smoothies,"Amazon","October 2022","Normal",,,,,,
19,waffle,Waffle maker,$23.0,$6.9,9,1,Sunday,Belgian waffle maker iron for breakfast and snacks,"Amazon","July 2022","Execellent",,,,,,
20,shoes,Shoe rack,$30.8,Free,11,8,Friday,Shoe shelf for 15 paris,"Amazon","November 2023","Normal",,,,,,
